Comunidades autónomas;Tipología penal;Periodos:;Total
ARAGÓN;12.-Estafas informáticas;enero-marzo 2024;2.845
ARAGÓN;12.-Estafas informáticas;Variación % 2024/2023;6,2
ARAGÓN;13.-Otros ciberdelitos;enero-marzo 2023;326
ARAGÓN;13.-Otros ciberdelitos;enero-marzo 2024;307
ARAGÓN;13.-Otros ciberdelitos;Variación % 2024/2023;-5,8
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-marzo 2023;12.187
ARAGÓN;III. TOTAL INFRACCIONES PENALES;enero-marzo 2024;12.941
ARAGÓN;III. TOTAL INFRACCIONES PENALES;Variación % 2024/2023;6,2
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2023;5.857
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2024;6.031
ASTURIAS (PRINCIPADO DE);I. CRIMINALIDAD CONVENCIONAL;Variación % 2024/2023;3,0
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-marzo 2023;2
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;enero-marzo 2024;1
ASTURIAS (PRINCIPADO DE);1. Homicidios dolosos y asesinatos consumados;Variación % 2024/2023;-50,0
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2023;2
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2024;2
ASTURIAS (PRINCIPADO DE);2. Homicidios dolosos y asesinatos en grado tentativa;Variación % 2024/2023;0,0
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2023;86
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2024;103
ASTURIAS (PRINCIPADO DE);3. Delitos graves y menos graves de lesiones y riña tumultuaria;Variación % 2024/2023;19,8
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-marzo 2023;0
ASTURIAS (PRINCIPADO DE);4. Secuestro;enero-marzo 2024;1
ASTURIAS (PRINCIPADO DE);4. Secuestro;Variación % 2024/2023;100,0
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-marzo 2023;69
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;enero-marzo 2024;62
ASTURIAS (PRINCIPADO DE);5. Delitos contra la libertad sexual;Variación % 2024/2023;-10,1
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-marzo 2023;17
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;enero-marzo 2024;14
ASTURIAS (PRINCIPADO DE);5.1.-Agresión sexual con penetración;Variación % 2024/2023;-17,6
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2023;52
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2024;48
ASTURIAS (PRINCIPADO DE);5.2.-Resto de delitos contra la libertad sexual;Variación % 2024/2023;-7,7
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-marzo 2023;79
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;enero-marzo 2024;79
ASTURIAS (PRINCIPADO DE);6. Robos con violencia e intimidación;Variación % 2024/2023;0,0
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2023;384
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2024;351
ASTURIAS (PRINCIPADO DE);7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Variación % 2024/2023;-8,6
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-marzo 2023;252
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;enero-marzo 2024;202
ASTURIAS (PRINCIPADO DE);7.1.-Robos con fuerza en domicilios;Variación % 2024/2023;-19,8
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-marzo 2023;1.765
ASTURIAS (PRINCIPADO DE);8. Hurtos;enero-marzo 2024;1.895
ASTURIAS (PRINCIPADO DE);8. Hurtos;Variación % 2024/2023;7,4
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-marzo 2023;68
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;enero-marzo 2024;54
ASTURIAS (PRINCIPADO DE);9. Sustracciones de vehículos;Variación % 2024/2023;-20,6
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-marzo 2023;47
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;enero-marzo 2024;42
ASTURIAS (PRINCIPADO DE);10. Tráfico de drogas;Variación % 2024/2023;-10,6
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-marzo 2023;3.355
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;enero-marzo 2024;3.441
ASTURIAS (PRINCIPADO DE);11. Resto de criminalidad convencional;Variación % 2024/2023;2,6
ASTURIAS (PRINCIPADO DE);II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2023;2.089
